,Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Start time,End time,Day,Building
409,BTW,250,31525,Principles Bus Comm,0,10,4,7,1,0,1,0,0,0,0,0,0,0,3.62,"McGuire, Lee",570.0,645.0,TR,English Building
410,BTW,250,51860,Principles Bus Comm,0,13,7,4,0,0,0,0,0,0,0,0,0,0,3.79,"Im, Jane",570.0,645.0,TR,English Building
411,BTW,250,31526,Principles Bus Comm,1,8,6,4,1,1,0,1,0,0,0,0,0,1,3.59,"Wilson, Gregory D",660.0,1455.0,TR,G Foreign Languages Building
412,BTW,250,31530,Principles Bus Comm,0,3,14,5,1,1,1,0,0,0,0,0,0,0,3.52,"McGuire, Lee",1470.0,825.0,TR,G Foreign Languages Building
413,BTW,250,31532,Principles Bus Comm,1,0,6,3,4,4,2,0,0,0,0,0,1,0,3.02,"Emmert, Ashley",1470.0,825.0,TR,English Building
414,BTW,250,51859,Principles Bus Comm,0,11,6,2,4,0,0,0,0,0,0,0,0,0,3.68,"Wilson, Gregory D",1470.0,825.0,TR,G Foreign Languages Building
415,BTW,250,31535,Principles Bus Comm,0,6,6,8,1,0,0,0,1,0,0,0,0,0,3.52,"McGuire, Lee",840.0,915.0,TR,G Foreign Languages Building
416,BTW,250,31517,Principles Bus Comm,0,10,5,2,5,0,0,0,0,0,0,0,0,0,3.64,"Wilson, Gregory D",840.0,915.0,TR,English Building
417,BTW,250,31522,Principles Bus Comm,0,4,6,6,3,2,0,0,0,0,0,0,0,0,3.44,"Gilmore, Shawn P",840.0,915.0,TR,G Foreign Languages Building
418,BTW,250,51861,Principles Bus Comm,0,8,9,6,1,0,0,0,0,0,0,0,0,0,3.67,"Kelly, Daniel",930.0,1005.0,TR,Henry Administration Bldg
419,BTW,250,31507,Principles Bus Comm,0,7,12,4,1,0,0,0,0,0,0,0,0,0,3.68,"Bascom, Benjamin D",930.0,1005.0,TR,English Building
420,BTW,250,31528,Principles Bus Comm,0,3,13,6,0,0,0,0,0,0,0,0,0,0,3.62,"Kelly, Daniel",1440.0,1490.0,MW,English Building
421,BTW,261,31553,Principles Tech Comm,0,18,0,0,5,0,0,1,0,0,0,0,0,0,3.71,"Grohens, Joseph",840.0,915.0,TR,English Building
422,BTW,261,31540,Principles Tech Comm,1,7,2,0,4,3,0,2,0,0,1,1,1,0,2.96,"Hechler, William D",1440.0,1490.0,MW,Henry Administration Bldg
423,BTW,271,31557,Persuasive Writing,0,18,3,0,2,0,0,0,0,0,0,0,0,0,3.87,"Grohens, Joseph",840.0,915.0,MW,G Foreign Languages Building
424,BUS,199,54987,Coaching for Success,33,6,0,0,2,0,0,0,0,0,0,0,0,0,3.95,"Turner, Nicole M",960.0,1010.0,R,Business Instructional Fac
425,BUS,301,56786,Principles Prof Responsibility,0,30,1,1,0,1,0,0,0,0,1,0,0,0,3.84,"DeBrock, Lawrence M",960.0,1130.0,M,Business Instructional Fac
426,CEE,201,31707,Systems Engrg & Economics,4,32,11,11,12,7,4,2,2,0,3,0,0,0,3.36,"Cai, Ximing",570.0,650.0,TR,Newmark Civil Engineering Bldg
427,CEE,202,31708,Engineering Risk & Uncertainty,2,18,26,22,17,15,6,5,2,3,1,2,3,0,3.06,"Koloutsou-Vakak, Sotiria",1470.0,830.0,TR,Newmark Civil Engineering Bldg
428,CEE,300,36261,Behavior of Materials,4,11,3,11,15,22,6,13,7,0,1,0,0,0,2.84,"Lange, David A",780.0,830.0,MW,Newmark Civil Engineering Bldg
429,CEE,310,31699,Transportation Engineering,3,17,17,9,9,5,2,4,3,0,0,0,1,2,3.29,"Ozer, Hasan",660.0,710.0,MW,Newmark Civil Engineering Bldg
430,CEE,320,31698,Construction Engineering,0,31,19,9,9,6,3,3,1,0,2,0,0,0,3.41,"Young, Brent D",930.0,1010.0,TR,Newmark Civil Engineering Bldg
431,CEE,330,31700,Environmental Engineering,5,14,23,36,15,13,9,11,3,1,3,0,0,0,3.1,"Bond, Tami C",840.0,920.0,TR,Newmark Civil Engineering Bldg
432,CEE,350,31701,Water Resources Engineering,2,8,11,5,9,8,1,3,0,0,1,0,0,0,3.22,"Stillwell, Ashlynn S",840.0,890.0,MW,Newmark Civil Engineering Bldg
433,CEE,360,31702,Structural Engineering,2,10,12,14,7,8,3,1,0,1,1,0,1,0,3.21,"Akono, Ange-Therese",540.0,590.0,MW,Newmark Civil Engineering Bldg
434,CEE,380,31705,Geotechnical Engineering,3,9,6,26,25,25,10,11,1,2,1,0,1,0,2.91,"Olson, Scott M",600.0,650.0,MW,Newmark Civil Engineering Bldg
435,CEE,411,56997,RR Project Design & Constr,1,7,3,3,6,2,1,0,0,0,0,0,0,0,3.44,"Edwards, John R",840.0,920.0,TR,Newmark Civil Engineering Bldg
436,CEE,412,63895,High-Speed Rail Engineering,6,26,14,3,0,0,0,0,0,0,0,0,0,0,3.86,"Ruppert, Conrad J",930.0,1010.0,TR,Newmark Civil Engineering Bldg
437,CEE,415,31716,Geometric Design of Roads,0,1,5,9,4,7,0,5,1,0,0,0,0,0,2.96,"Schmidt, Arthur R",900.0,1010.0,MW,Newmark Civil Engineering Bldg
438,CEE,418,63803,Public Transportation Systems,3,8,5,9,2,8,3,0,0,0,0,0,0,0,3.33,"Ouyang, Yanfeng",1470.0,830.0,MW,Newmark Civil Engineering Bldg
439,CEE,420,39554,Construction Productivity,0,96,24,25,15,14,4,3,1,0,0,0,0,0,3.61,"Liu, Liang Y",1080.0,1250.0,W,Newmark Civil Engineering Bldg
440,CEE,421,31712,Construction Planning,14,39,29,11,11,4,3,2,3,0,1,0,0,0,3.56,"El-Rayes, Khaled A",480.0,560.0,TR,Newmark Civil Engineering Bldg
441,CEE,424,61988,Sustainable Const Methods,0,59,26,19,12,5,3,2,2,0,1,1,0,0,3.54,"Young, Brent D",660.0,1460.0,TR,Newmark Civil Engineering Bldg
442,CEE,437,31720,Water Quality Engineering,3,12,15,7,5,2,1,0,0,0,0,0,0,0,3.58,"Cusick, Roland",570.0,650.0,TR,Newmark Civil Engineering Bldg
443,CEE,440,31718,Fate Cleanup Environ Pollutant,0,11,5,3,9,0,0,0,0,0,0,0,0,0,3.55,"Valocchi, Albert J",840.0,920.0,TR,Newmark Civil Engineering Bldg
444,CEE,444,31723,"Env Eng Principles, Biological",0,5,2,5,11,5,0,0,0,0,1,0,0,0,3.15,"Zilles, Julie",510.0,590.0,MW,Newmark Civil Engineering Bldg
445,CEE,449,31717,Environmental Engineering Lab,4,13,8,11,5,3,3,0,0,0,0,0,0,0,3.49,"Marinas, Benito J",1440.0,1490.0,TR,Newmark Civil Engineering Bldg
446,CEE,452,31727,Hydraulic Analysis and Design,13,11,5,4,1,2,0,1,0,0,0,0,0,0,3.73,"Garcia, Marcelo H",600.0,650.0,MW,Civil Eng Hydrosystems Lab
447,CEE,460,31703,Steel Structures I,8,19,7,8,9,8,4,5,3,2,1,3,0,1,3.1,"Lombardo, Franklin T",480.0,590.0,TR,Newmark Civil Engineering Bldg
448,CEE,461,31704,Reinforced Concrete I,4,13,25,12,6,8,5,4,2,0,1,1,1,1,3.22,"Gurfinkel, German",480.0,590.0,MW,Civil Eng Hydrosystems Lab
449,CEE,462,62000,Steel Structures II,2,9,11,9,15,5,3,0,0,0,0,0,0,0,3.33,"Fahnestock, Larry A",840.0,920.0,TR,Newmark Civil Engineering Bldg
450,CEE,465,31731,Design of Structural Systems,0,10,2,1,7,12,6,2,3,0,0,0,0,0,2.95,"Abrams, Daniel P",600.0,710.0,MW,Newmark Civil Engineering Bldg
451,CEE,470,31729,Structural Analysis,1,7,2,6,6,5,10,1,2,2,1,0,1,0,2.79,"Duarte, Carlos A",840.0,950.0,MW,Newmark Civil Engineering Bldg
452,CEE,480,31706,Foundation Engineering,0,4,1,8,7,2,6,2,6,0,1,0,0,0,2.75,"Stark, Timothy D",930.0,1010.0,TR,Newmark Civil Engineering Bldg
453,CEE,483,31736,Soil Mechanics and Behavior,0,9,0,0,3,0,0,5,2,0,0,0,2,0,2.78,"Mesri, Gholamreza",780.0,830.0,MW,B Newmark Civil Engineering Bldg
454,CEE,484,31737,Applied Soil Mechanics,1,4,5,6,3,3,1,2,1,1,0,0,0,0,3.14,"Olson, Scott M",840.0,890.0,MW,Newmark Civil Engineering Bldg
455,CEE,528,50048,Construction Data Modeling,6,20,23,10,4,2,0,0,0,0,0,0,0,0,3.68,"El-Gohary, Nora",840.0,920.0,TR,Newmark Civil Engineering Bldg
456,CEE,538,31746,Water Quality Control Proc II,1,17,11,9,5,1,0,1,0,0,0,0,0,0,3.6,"Guest, Jeremy S",600.0,710.0,MW,Newmark Civil Engineering Bldg
457,CEE,570,31749,Finite Element Methods,0,16,13,13,18,4,0,0,0,0,0,0,0,0,3.43,"Masud, Arif",660.0,710.0,MW,Newmark Civil Engineering Bldg
458,CEE,572,46693,Earthquake Engineering,0,52,6,0,2,0,0,0,0,0,0,0,0,0,3.93,"Elbanna, Ahmed",1470.0,830.0,MW,Newmark Civil Engineering Bldg
459,CEE,598,48289,Highway Bridges Design,0,19,12,5,0,0,0,0,0,0,0,0,1,0,3.69,"Andrawes, Bassem O",570.0,650.0,TR,Newmark Civil Engineering Bldg
460,CHBE,221,60171,Principles of CHE,2,6,5,0,8,3,0,5,4,0,1,0,1,0,2.86,"Rogers, Simon",1440.0,1490.0,MW,Noyes Laboratory
461,CHBE,321,32027,Thermodynamics,5,14,12,7,11,8,7,12,6,0,1,0,4,1,2.86,"Sing, Charles E",660.0,1460.0,TR,Burrill Hall
462,CHBE,421,60295,Momentum and Heat Transfer,0,14,14,14,15,13,15,13,11,5,3,2,3,1,2.66,"Harley, Brendan A",570.0,650.0,TR,Architecture Building
463,CHBE,422,32032,Mass Transfer Operations,1,15,16,17,18,16,15,9,7,0,5,0,5,0,2.79,"Guironnet, Damien S",660.0,710.0,MW,Roger Adams Laboratory
464,CHBE,424,32041,Chemical Reaction Engineering,1,13,9,3,9,8,15,16,7,0,0,1,3,0,2.67,"Seebauer, Edmund G",540.0,590.0,MW,Gregory Hall
465,CHBE,430,32037,Unit Operations Laboratory,1,16,5,26,32,10,3,1,0,0,0,0,0,0,3.24,"Vogel, Troy",840.0,890.0,F,Lincoln Hall
466,CHBE,431,58879,Process Design,0,10,3,19,47,11,2,11,3,1,0,0,0,0,2.97,"Bennett, Joshua E",780.0,830.0,MW,Lincoln Hall
467,CHBE,440,61790,Process Control and Dynamics,10,22,22,12,14,3,9,4,3,0,0,0,0,0,3.36,"Rao, Christopher V",600.0,650.0,MW,Talbot Laboratory
468,CHBE,471,31772,Biochemical Engineering,1,27,2,2,26,2,5,18,1,0,1,0,1,0,3.02,"Kraft, Mary L",540.0,590.0,MW,Transportation Building
469,CHBE,476,61795,Biotransport,8,32,16,15,4,1,0,0,0,0,0,0,0,0,3.73,"Kong, Hyun Joon",570.0,650.0,TR,Noyes Laboratory
470,CHBE,478,61796,Bioenergy Technology,0,6,7,17,8,6,0,0,0,0,0,0,0,0,3.33,"Shukla, Diwakar",660.0,1460.0,TR,Mechanical Engineering Bldg
471,CHBE,494,48392,Special Topics,2,3,1,4,4,5,3,0,0,0,0,0,0,0,3.15,"Yang, Hong",570.0,650.0,TR,B Engineering Hall
472,CHBE,522,32130,Fluid Dynamics,1,13,5,1,10,1,0,0,0,0,0,0,0,0,3.56,"Higdon, Jonathan J",840.0,920.0,MW,Noyes Laboratory
473,CHBE,551,39060,Chemical Kinetics & Catalysis,1,11,3,2,9,3,0,0,0,0,0,0,0,0,3.47,"Flaherty, David W",660.0,710.0,MW,Noyes Laboratory
474,CHBE,571,61909,Bioinformatics,22,4,2,0,0,0,0,1,0,0,0,0,0,0,3.91,"Zhao, Sihai D",540.0,590.0,MW,Lincoln Hall
475,CHEM,101,59958,Introductory Chemistry,0,6,7,9,19,20,13,8,6,12,7,8,15,9,2.11,"Decoste, Donald J",540.0,590.0,TR,Noyes Laboratory
476,CHEM,102,32172,General Chemistry I,8,9,13,28,43,34,38,61,26,12,17,4,8,7,2.39,"Hummel, Thomas J",600.0,650.0,TR,Noyes Laboratory
477,CHEM,102,46568,General Chemistry I,7,8,12,17,20,19,23,37,18,29,47,8,31,14,1.88,"Marville, Kelly",840.0,890.0,TR,Noyes Laboratory
479,CHEM,102,47915,General Chemistry I,9,17,12,16,39,30,55,48,25,10,18,12,15,2,2.3,"Hummel, Thomas J",780.0,830.0,TR,Noyes Laboratory
480,CHEM,103,32343,General Chemistry Lab I,14,9,1,1,0,2,0,0,0,0,0,0,0,0,3.86,"Abunada, Ibrahim Y",1440.0,830.0,M,Chemistry Annex
481,CHEM,103,32344,General Chemistry Lab I,6,10,4,2,1,0,1,0,1,0,0,0,0,1,3.69,"Liao, Can H",1440.0,830.0,M,Chemistry Annex
482,CHEM,103,32345,General Chemistry Lab I,12,6,1,2,1,2,0,1,0,0,0,0,0,0,3.71,"Namkoong, Myeong",840.0,950.0,M,Chemistry Annex
483,CHEM,103,32346,General Chemistry Lab I,11,5,3,2,3,0,0,1,0,0,0,0,0,0,3.71,"Chu, Yueh-Te",840.0,950.0,M,Chemistry Annex
484,CHEM,103,32347,General Chemistry Lab I,5,11,6,0,1,0,0,1,0,0,0,0,0,1,3.79,"Fuerste, Wade C",960.0,1070.0,M,Chemistry Annex
485,CHEM,103,32348,General Chemistry Lab I,10,3,1,3,6,0,1,0,0,0,0,0,0,0,3.58,"Yoakum, Daniel M",960.0,1070.0,M,Chemistry Annex
486,CHEM,103,32355,General Chemistry Lab I,11,7,2,1,0,1,0,0,0,0,0,0,1,0,3.71,"Patel, Manish J",600.0,710.0,T,Chemistry Annex
487,CHEM,103,32356,General Chemistry Lab I,10,12,2,1,1,1,0,0,0,0,0,0,0,0,3.86,"Edwards, Marcus M",600.0,710.0,T,Chemistry Annex
488,CHEM,103,32357,General Chemistry Lab I,7,9,2,4,1,0,0,1,0,0,0,0,0,1,3.74,"Liao, Can H",1440.0,830.0,T,Chemistry Annex
489,CHEM,103,32358,General Chemistry Lab I,8,3,3,1,6,0,0,1,0,1,1,0,2,0,3.1,"Zhang, Jiabao",1440.0,830.0,T,Chemistry Annex
490,CHEM,103,32360,General Chemistry Lab I,17,1,2,2,0,1,0,0,0,1,0,0,0,0,3.75,"Abunada, Ibrahim Y",840.0,950.0,T,Chemistry Annex
491,CHEM,103,32361,General Chemistry Lab I,8,12,4,1,0,0,0,1,0,0,0,0,0,0,3.85,"Liao, Can H",960.0,1070.0,T,Chemistry Annex
492,CHEM,103,32362,General Chemistry Lab I,8,8,0,2,2,3,0,0,1,0,1,1,1,0,3.26,"Yoakum, Daniel M",960.0,1070.0,T,Chemistry Annex
493,CHEM,103,65648,General Chemistry Lab I,8,10,4,1,2,0,0,1,0,0,0,0,0,0,3.77,"Edwards, Marcus M",600.0,710.0,W,Chemistry Annex
494,CHEM,103,65649,General Chemistry Lab I,7,5,2,3,0,3,2,0,0,0,0,0,1,0,3.39,"Zhang, Jiabao",1440.0,830.0,W,Chemistry Annex
495,CHEM,103,65650,General Chemistry Lab I,9,10,2,2,3,0,0,0,0,0,0,0,0,1,3.81,"Yoakum, Daniel M",1440.0,830.0,W,Chemistry Annex
496,CHEM,103,32363,General Chemistry Lab I,6,11,2,2,0,1,0,1,0,0,0,0,1,0,3.61,"Zhang, Jiabao",840.0,950.0,W,Chemistry Annex
497,CHEM,103,65651,General Chemistry Lab I,15,4,2,0,1,1,0,0,0,1,0,1,0,0,3.64,"Chu, Yueh-Te",840.0,950.0,W,Chemistry Annex
498,CHEM,103,32365,General Chemistry Lab I,11,8,3,1,1,0,1,0,0,0,0,0,0,0,3.83,"Fuerste, Wade C",960.0,1070.0,W,Chemistry Annex
499,CHEM,103,65652,General Chemistry Lab I,13,4,4,4,0,0,0,1,0,0,0,0,0,0,3.77,"Chu, Yueh-Te",960.0,1070.0,W,Chemistry Annex
500,CHEM,103,32370,General Chemistry Lab I,17,7,1,3,1,0,0,0,0,0,0,0,0,0,3.88,"Newman, Katerina E",480.0,590.0,R,Chemistry Annex
501,CHEM,103,32369,General Chemistry Lab I,13,5,4,0,4,0,0,0,0,0,0,1,1,0,3.55,"Newman, Katerina E",600.0,710.0,R,Chemistry Annex
502,CHEM,103,65653,General Chemistry Lab I,15,8,2,3,0,0,0,0,0,0,0,0,0,0,3.9,"Edwards, Marcus M",600.0,710.0,R,Chemistry Annex
503,CHEM,103,32371,General Chemistry Lab I,2,12,3,1,3,0,1,0,0,0,0,0,1,0,3.55,"Namkoong, Myeong",1440.0,830.0,R,Chemistry Annex
504,CHEM,103,35065,General Chemistry Lab I,6,12,4,2,0,0,0,0,0,0,0,0,1,1,3.73,"Fuerste, Wade C",1440.0,830.0,R,Chemistry Annex
505,CHEM,103,39114,General Chemistry Lab I,11,6,2,1,1,0,0,0,0,0,0,0,1,0,3.71,"Abunada, Ibrahim Y",840.0,950.0,R,Chemistry Annex
506,CHEM,103,44406,General Chemistry Lab I,9,7,4,0,5,0,0,0,0,0,1,0,0,0,3.64,"Fuerste, Wade C",960.0,1070.0,R,Chemistry Annex
507,CHEM,103,44419,General Chemistry Lab I,12,7,2,1,2,0,0,0,0,0,0,0,0,0,3.86,"Vallapurackal, Ashley J",600.0,710.0,F,Chemistry Annex
508,CHEM,103,44421,General Chemistry Lab I,8,10,3,1,0,1,1,0,1,0,0,1,0,0,3.6,"Vallapurackal, Ashley J",1440.0,830.0,F,Chemistry Annex
509,CHEM,103,32352,General Chemistry Lab I,4,10,7,1,0,1,1,0,0,0,1,0,0,1,3.64,"Abunada, Ibrahim Y",840.0,950.0,F,Chemistry Annex
510,CHEM,104,32231,General Chemistry II,13,40,27,30,32,33,30,37,37,8,5,8,7,1,2.68,"Ray, Christian R",840.0,890.0,MW,Noyes Laboratory
511,CHEM,104,32261,General Chemistry II,10,36,33,44,46,29,28,36,7,14,10,6,1,4,2.83,"Ray, Christian R",600.0,650.0,MW,Noyes Laboratory
512,CHEM,104,32305,General Chemistry II,6,16,10,12,34,21,15,46,15,3,9,3,4,1,2.52,"Andino Martinez, Jose G",540.0,590.0,MW,Noyes Laboratory
513,CHEM,104,32309,General Chemistry II,6,31,23,13,59,19,21,59,6,5,7,6,6,0,2.67,"Andino Martinez, Jose G",780.0,830.0,MW,Noyes Laboratory
514,CHEM,105,32372,General Chemistry Lab II,0,26,2,0,0,1,0,0,0,0,0,0,0,0,3.93,"Devasia, Dinumol",1440.0,830.0,M,Chemistry Annex
515,CHEM,105,32373,General Chemistry Lab II,0,26,2,0,0,0,0,0,0,0,0,0,2,0,3.71,"Schwandt, William F",1440.0,830.0,M,Chemistry Annex
516,CHEM,105,32375,General Chemistry Lab II,0,24,4,0,1,0,0,0,0,0,0,0,0,0,3.92,"Devasia, Dinumol",840.0,950.0,M,Chemistry Annex
517,CHEM,105,32377,General Chemistry Lab II,0,20,3,1,2,1,0,0,0,0,0,0,0,0,3.82,"Li, Xinyi",840.0,950.0,M,Chemistry Annex
518,CHEM,105,32378,General Chemistry Lab II,0,24,2,0,3,0,0,1,0,0,0,0,0,0,3.81,"Shari'ati, Yusef A",960.0,1070.0,M,Chemistry Annex
519,CHEM,105,32379,General Chemistry Lab II,0,22,3,0,2,0,1,0,0,0,0,0,0,0,3.83,"Dahodwala, Mohsin G",960.0,1070.0,M,Chemistry Annex
520,CHEM,105,32381,General Chemistry Lab II,0,24,0,3,0,0,0,1,0,0,0,0,1,0,3.72,"Kravchuk, Valeriya",480.0,590.0,T,Chemistry Annex
521,CHEM,105,32382,General Chemistry Lab II,0,23,0,0,0,0,0,0,0,1,0,0,2,0,3.59,"Mensah, Danielle",480.0,590.0,T,Chemistry Annex
522,CHEM,105,32383,General Chemistry Lab II,0,27,1,1,0,0,0,0,0,0,1,0,0,0,3.87,"Devasia, Dinumol",600.0,710.0,T,Chemistry Annex
523,CHEM,105,32384,General Chemistry Lab II,0,27,0,0,0,0,0,0,1,0,0,0,0,1,3.92,"Mensah, Danielle",600.0,710.0,T,Chemistry Annex
524,CHEM,105,32385,General Chemistry Lab II,0,27,1,0,1,0,0,0,0,0,0,0,0,0,3.95,"Devasia, Dinumol",1440.0,830.0,T,Chemistry Annex
525,CHEM,105,32386,General Chemistry Lab II,0,26,0,1,1,0,0,0,0,0,0,0,0,0,3.94,"Daly, Connor I",1440.0,830.0,T,Chemistry Annex
526,CHEM,105,32388,General Chemistry Lab II,0,29,0,0,0,0,1,0,0,0,0,0,0,0,3.94,"Daly, Connor I",840.0,950.0,T,Chemistry Annex
527,CHEM,105,32389,General Chemistry Lab II,0,23,2,0,1,0,0,0,0,0,0,1,0,0,3.82,"Shari'ati, Yusef A",960.0,1070.0,T,Chemistry Annex
528,CHEM,105,32390,General Chemistry Lab II,0,24,2,0,2,0,1,1,0,0,0,0,0,0,3.79,"Patel, Sohum K",960.0,1070.0,T,Chemistry Annex
529,CHEM,105,32391,General Chemistry Lab II,0,23,1,1,0,1,0,0,0,0,1,0,1,0,3.67,"Patel, Sohum K",600.0,710.0,W,Chemistry Annex
530,CHEM,105,32392,General Chemistry Lab II,0,24,1,2,0,0,2,0,0,0,1,0,0,0,3.73,"Schwandt, William F",600.0,710.0,W,Chemistry Annex
531,CHEM,105,32393,General Chemistry Lab II,0,24,1,0,2,2,0,0,0,0,0,0,0,0,3.83,"Muhammad, Safiyah R",1440.0,830.0,W,Chemistry Annex
532,CHEM,105,32394,General Chemistry Lab II,0,25,1,1,2,1,0,0,0,0,0,0,0,0,3.86,"Schwandt, William F",1440.0,830.0,W,Chemistry Annex
533,CHEM,105,32396,General Chemistry Lab II,0,25,2,1,0,0,0,0,0,0,0,0,1,0,3.82,"Li, Xinyi",840.0,950.0,W,Chemistry Annex
534,CHEM,105,32397,General Chemistry Lab II,0,19,3,2,1,0,1,0,1,0,0,0,0,0,3.73,"Kravchuk, Valeriya",840.0,950.0,W,Chemistry Annex
535,CHEM,105,32417,General Chemistry Lab II,0,19,6,0,0,2,0,0,0,1,1,0,0,0,3.64,"Schwandt, William F",960.0,1070.0,W,Chemistry Annex
536,CHEM,105,32419,General Chemistry Lab II,0,25,1,0,1,0,0,0,1,0,0,0,1,0,3.74,"Dahodwala, Mohsin G",960.0,1070.0,W,Chemistry Annex
537,CHEM,105,32428,General Chemistry Lab II,0,26,0,2,0,0,1,0,0,0,0,0,0,0,3.9,"Devasia, Dinumol",600.0,710.0,R,Chemistry Annex
538,CHEM,105,32430,General Chemistry Lab II,0,24,1,0,1,0,0,1,1,0,0,0,0,0,3.8,"Mensah, Danielle",600.0,710.0,R,Chemistry Annex
539,CHEM,105,32432,General Chemistry Lab II,0,21,4,0,2,0,1,0,0,0,0,0,0,0,3.82,"Muhammad, Safiyah R",1440.0,830.0,R,Chemistry Annex
540,CHEM,105,32439,General Chemistry Lab II,0,26,0,2,0,0,0,0,0,0,0,0,0,1,3.95,"Daly, Connor I",1440.0,830.0,R,Chemistry Annex
541,CHEM,105,32440,General Chemistry Lab II,0,20,4,1,1,1,1,0,0,0,0,0,0,0,3.79,"Shari'ati, Yusef A",840.0,950.0,R,Chemistry Annex
542,CHEM,105,32441,General Chemistry Lab II,0,22,2,0,1,0,0,0,0,0,0,0,1,0,3.78,"Daly, Connor I",840.0,950.0,R,Chemistry Annex
543,CHEM,105,32442,General Chemistry Lab II,0,19,1,2,1,1,1,1,0,0,0,0,2,0,3.44,"Shari'ati, Yusef A",960.0,1070.0,R,Chemistry Annex
544,CHEM,105,32443,General Chemistry Lab II,0,21,0,2,1,1,0,0,0,0,0,0,1,0,3.71,"Muhammad, Safiyah R",960.0,1070.0,R,Chemistry Annex
545,CHEM,105,39117,General Chemistry Lab II,0,24,2,3,0,0,0,0,0,0,0,0,0,0,3.91,"Patel, Sohum K",600.0,710.0,F,Chemistry Annex
546,CHEM,105,39118,General Chemistry Lab II,0,22,0,1,1,1,0,1,0,0,1,0,1,0,3.57,"Dahodwala, Mohsin G",600.0,710.0,F,Chemistry Annex
547,CHEM,105,43152,General Chemistry Lab II,0,22,2,0,1,0,0,0,0,0,0,0,0,0,3.93,"Muhammad, Safiyah R",1440.0,830.0,F,Chemistry Annex
548,CHEM,105,43154,General Chemistry Lab II,0,17,2,4,2,2,0,0,0,0,0,0,2,0,3.45,"Schwandt, William F",1440.0,830.0,F,Chemistry Annex
549,CHEM,105,43156,General Chemistry Lab II,0,17,1,1,0,1,0,0,0,1,0,0,0,0,3.76,"Muhammad, Safiyah R",840.0,950.0,F,Chemistry Annex
550,CHEM,105,43157,General Chemistry Lab II,0,17,0,2,0,1,0,1,0,0,0,0,1,0,3.61,"Daly, Connor I",840.0,950.0,F,Chemistry Annex
551,CHEM,108,39201,"Chemistry, Everyday Phenomena",1,18,6,3,3,1,0,0,0,0,0,0,0,0,3.74,"Adams, Gretchen",660.0,710.0,T,Noyes Laboratory
553,CHEM,204,32457,Accelerated Chemistry II,3,22,12,20,23,11,24,28,20,5,8,2,8,0,2.53,"Huang, Tina H",660.0,710.0,MW,Noyes Laboratory
554,CHEM,205,32549,Accelerated Chemistry Lab II,0,19,22,18,20,10,9,10,3,1,0,4,6,1,2.9,"Huang, Tina H",1440.0,1490.0,R,Noyes Laboratory
555,CHEM,205,32545,Accelerated Chemistry Lab II,1,5,4,12,9,6,5,4,3,1,0,0,0,1,2.95,"Huang, Tina H",1440.0,1490.0,T,Noyes Laboratory
556,CHEM,232,53070,Elementary Organic Chemistry I,4,5,16,11,17,18,13,16,24,6,7,2,1,2,2.49,"Axelson, Jordan C",480.0,530.0,MW,Noyes Laboratory
557,CHEM,232,63826,Elementary Organic Chemistry I,11,26,27,19,33,48,35,38,37,7,8,1,5,3,2.63,"Axelson, Jordan C",900.0,950.0,MW,Noyes Laboratory
560,CHEM,233,32573,Elementary Organic Chem Lab I,21,59,23,24,10,8,2,2,0,0,0,2,1,0,3.59,"Kell, David A",480.0,530.0,R,Noyes Laboratory
561,CHEM,233,32576,Elementary Organic Chem Lab I,24,59,37,24,19,1,2,2,0,1,0,0,1,0,3.63,"Kell, David A",930.0,980.0,R,Gregory Hall
562,CHEM,233,32578,Elementary Organic Chem Lab I,15,41,28,20,15,8,3,3,1,0,0,1,0,0,3.52,"Kell, David A",780.0,830.0,F,Roger Adams Laboratory
563,CHEM,236,32600,Fundamental Organic Chem I,0,10,3,4,11,2,1,17,1,0,2,0,2,1,2.69,"Zimmerman, Steven C",540.0,590.0,MW,Lincoln Hall
564,CHEM,237,32612,Structure and Synthesis,1,10,3,5,9,4,5,10,3,0,0,0,1,1,2.86,"van der Donk, Wilfred A",570.0,620.0,T,English Building
565,CHEM,312,32624,Inorganic Chemistry,0,5,6,3,12,3,6,11,1,4,4,0,2,0,2.51,"Murphy, Catherine J",540.0,590.0,MW,Noyes Laboratory
566,CHEM,315,32638,Instrumental Chem Systems Lab,1,22,15,25,11,10,11,19,10,0,2,0,4,0,2.86,"Gewirth, Andrew A",960.0,1010.0,M,Noyes Laboratory
567,CHEM,332,60621,Elementary Organic Chem II,2,14,9,5,9,20,12,12,9,11,6,2,6,0,2.42,"Koerner, Michael",1050.0,1130.0,TR,Noyes Laboratory
568,CHEM,332,60622,Elementary Organic Chem II,6,22,15,16,25,20,13,20,18,6,8,4,9,3,2.57,"Koerner, Michael",660.0,1460.0,TR,David Kinley Hall
569,CHEM,332,52261,Elementary Organic Chem II,28,11,2,1,2,0,0,0,0,0,0,0,0,0,3.92,"Moore, Jeffrey S",900.0,950.0,MW,Lincoln Hall
570,CHEM,360,59243,Chemistry of the Environment,8,76,19,7,7,3,3,2,0,1,1,0,1,1,3.68,"Shen, Mei",900.0,950.0,MW,Burrill Hall
