,Subject,Course,CRN,Course Title,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,Average Grade,Primary Instructor,Start time,End time,Day,Building
1414,KIN,104,35017,Skating Activities,0,52,0,0,3,0,0,1,0,0,0,0,1,0,3.84,"Clarke, Caitlin L",780.0,860.0,TR,Ice Arena
1415,KIN,109,35053,Team Sport Activities,14,1,4,3,2,3,0,2,0,0,0,1,0,0,3.45,"Strom, Dominick A",540.0,590.0,TR,GYM Activities & Recreation Center
1416,KIN,109,35060,Team Sport Activities,14,5,2,0,1,2,1,0,1,0,0,0,0,0,3.68,"Amjod, Raja M",660.0,710.0,TR,Campus Recreation Center East
1417,KIN,122,35079,Physical Activity and Health,13,27,15,10,10,6,4,5,2,0,0,0,1,0,3.41,"Kaplan, Justine",660.0,710.0,MW,Bevier Hall
1419,KIN,125,53020,Orientation KIN & Comm Health,0,91,0,0,5,0,0,0,0,0,0,0,0,0,3.95,"O'Neill, Amy",660.0,1460.0,TR,Huff Hall
1420,KIN,130,35082,Analysis of Basic Movement,1,2,12,6,4,3,3,0,1,0,0,1,0,0,3.19,"Carlson, Kristin N",690.0,1460.0,T,Armory
1421,KIN,140,35117,Social Sci of Human Movement,0,23,29,17,16,16,9,5,2,0,1,0,0,0,3.23,"Palac, Daniel E",660.0,710.0,MW,Huff Hall
1423,KIN,150,35126,Bioscience of Human Movement,0,62,0,0,39,0,0,15,0,0,5,0,1,0,3.28,"Boppart, Marni",1440.0,1490.0,MW,Gregory Hall
1424,KIN,199,66176,UG Open Seminar: Brain Injury,2,7,3,3,4,0,1,1,0,0,1,0,0,0,3.38,"Hernandez, Manuel E",1080.0,1220.0,MW,Bevier Hall
1425,KIN,201,64926,Phys Act Research Meas & Meth,0,46,0,0,6,0,0,3,0,0,0,0,0,0,3.78,"Sebastiao, Emerson",780.0,830.0,MW,Transportation Building
1426,KIN,247,35141,Intro to Sport Psychology,1,24,0,0,6,0,0,1,0,0,1,0,0,1,3.67,"Mullen, Sean P",1470.0,830.0,TR,Lincoln Hall
