,accuracy,formatted_address,google_place_id,input_string,latitude,longitude,number_of_results,postcode,status,type
17,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ,"Woodard,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
18,ROOFTOP,"Freer Hall, 906 S Goodwin Ave, Urbana, IL 61801, USA",ChIJZzNuvxbXDIgRiapnPTHdpYw,"Freer Hall,Urbana,United States",40.1048188,-88.2228643,1,61801,OK,premise
19,ROOFTOP,"George Huff Hall, 1206 S 4th St, Champaign, IL 61820, USA",ChIJMRdMCjvXDIgR3I1VKM-D7Ms," Huff Hall,Urbana,United States",40.1038447,-88.2327387,1,61820,OK,"establishment,point_of_interest"
20,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ,"Beauchamp,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
21,ROOFTOP,"201 N Goodwin Ave, Urbana, IL 61801, USA",ChIJqXmEqmvXDIgRMJY1DdQBn04," SiebelCenter forComp Sci,Urbana,United States",40.11380279999999,-88.2249052,1,61801,OK,"establishment,point_of_interest"
22,ROOFTOP,"605 Maple St, Coffeyville, KS 67337, USA",ChIJpQnt-ViEt4cRBwL4yCwZJlE," Electrical& ComputerEng Bldg,Urbana,United States",37.0378225,-95.6170928,1,67337,OK,"establishment,point_of_interest,store"
23,ROOFTOP,"Foreign Languages Building, 707 S Mathews Ave, Urbana, IL 61801, USA",ChIJ-W8V_RXXDIgR8ByHqkmaViY," ForeignLanguagesBuilding,Urbana,United States",40.1062782,-88.2260844,1,61801,OK,premise
24,ROOFTOP,"500 S Goodwin Ave, Urbana, IL 61801, USA",ChIJs2weZhTXDIgR9-Mz0s0qNrs," KrannertCenter forPerf Arts,Urbana,United States",40.1080244,-88.2225153,1,61801,OK,"establishment,point_of_interest"
25,ROOFTOP,"1304 W Springfield Ave, Urbana, IL 61801, USA",ChIJM-RtnWrXDIgRRP-cVNJU2Lo," DigitalComputerLaboratory,Urbana,United States",40.1131069,-88.2265673,1,61801,OK,"establishment,point_of_interest"
26,ROOFTOP,"1301 W Green St, Urbana, IL 61801, USA",ChIJuWOXbxXXDIgRCUmVeb6iCbk," NaturalHistory Building,Urbana,United States",40.1094472,-88.2260208,1,61801,OK,"establishment,point_of_interest,school"
27,ROOFTOP,"1308 W Main St, Urbana, IL 61801, USA",ChIJi4IA30HXDIgRfnz0Z73MpfI,"CoordinatedScience Lab,Urbana,United States",40.1148693,-88.2267195,1,61801,OK,"establishment,point_of_interest,university"
28,ROOFTOP,"Noble Hall, 1209 S 4th St, Champaign, IL 61820, USA",ChIJX8Jk3jrXDIgRgnEUbVu3rgs," Noble Hall,Urbana,United States",40.1023187,-88.2341727,1,61820,OK,premise
29,ROOFTOP,"1304 W Green St, Urbana, IL 61801, USA",ChIJ-1qO-j_XDIgRRyMBf46-EXM," MaterialsScience& Eng Bld,Urbana,United States",40.1108597,-88.2261108,1,61801,OK,"establishment,point_of_interest"
30,ROOFTOP,"1105 W Nevada St, Urbana, IL 61801, USA",ChIJZdP-rBbXDIgRScQyvbeHWn4," ChildDevelopmentLaboratory,Urbana,United States",40.1056104,-88.2219244,1,61801,OK,"establishment,point_of_interest,university"
31,GEOMETRIC_CENTER,"Urbana, IL 61801, USA",ChIJq1iLLRbXDIgRlyHcE4jNa_0,"AgriculturalEngrSciences Bld,Urbana,United States",40.1036179,-88.22607269999999,1,61801,OK,"establishment,point_of_interest"
32,ROOFTOP,"Stock Pavilion, 1402 W Pennsylvania Ave, Urbana, IL 61801, USA",ChIJO-3KUj3XDIgR4qQG9GCbAqo,"Stock Pavilion,Urbana,United States",40.101042,-88.227166,1,61801,OK,premise
33,ROOFTOP,"611 Lorado Taft Dr, Champaign, IL 61820, USA",ChIJlRcNPz3XDIgR2R_827_Hkzc,"ArchitectureBuilding,Urbana,United States",40.1022396,-88.2280127,1,61820,OK,"establishment,point_of_interest,university"
34,ROOFTOP,"301 E Gregory Dr, Champaign, IL 61820, USA",ChIJeUz7YTrXDIgRC0QtdLZNcOc," StudentDining & ResProgram,Urbana,United States",40.1039366,-88.235502,1,61820,OK,"establishment,point_of_interest,university"
35,ROOFTOP,"Altgeld Hall, 1409 W Green St, Urbana, IL 61801, USA",ChIJjXehsT_XDIgR4vxFLlBEF54,"Altgeld Hall,Urbana,United States",40.1093349,-88.22835859999999,1,61801,OK,premise
36,ROOFTOP,"George Huff Hall, 1206 S 4th St, Champaign, IL 61820, USA",ChIJMRdMCjvXDIgR3I1VKM-D7Ms,"Huff Hall,Urbana,United States",40.1038447,-88.2327387,1,61820,OK,"establishment,point_of_interest"
37,ROOFTOP,"Stock Pavilion, 1402 W Pennsylvania Ave, Urbana, IL 61801, USA",ChIJO-3KUj3XDIgR4qQG9GCbAqo," StockPavilion,Urbana,United States",40.101042,-88.227166,1,61801,OK,premise
38,ROOFTOP,"407 S Goodwin Ave, Urbana, IL 61801, USA",ChIJub4wBRXXDIgR8sSlY3bptTE," Burrill Hall,Urbana,United States",40.109162,-88.2249021,1,61801,OK,"establishment,point_of_interest,university"
39,ROOFTOP,"Chemical and Life Sciences Laboratory, 601 S Goodwin Ave, Urbana, IL 61801, USA",ChIJG_zrrRXXDIgRLcGxg7KMvb0,"Chemical andLife Sci Lab,Urbana,United States",40.1081456,-88.2244528,1,61801,OK,premise
40,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ,"Nalla,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
41,ROOFTOP,"Mumford Hall, 1301 W Gregory Dr, Urbana, IL 61801, USA",ChIJBcidMhbXDIgR9DWvDAwNidA,"Mumford Hall,Urbana,United States",40.1036253,-88.22603769999999,1,61801,OK,premise
42,ROOFTOP,"1208 W Peabody Dr, Urbana, IL 61801, USA",ChIJVfmokxfXDIgRXiqIwDvw3xE,"ArchitectureAnnex,Urbana,United States",40.1018316,-88.2253878,1,61801,OK,"establishment,point_of_interest"
43,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ,"Weeks,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
44,ROOFTOP,"Astronomy Building, 1002 W Green St, Urbana, IL 61801, USA",ChIJqSR4TBPXDIgRhVNN3iDgkYc,"AstronomyBuilding,Urbana,United States",40.1109366,-88.22088699999999,1,61801,OK,premise
45,ROOFTOP,"1406 W Green St, Urbana, IL 61801, USA",ChIJ56DIjj_XDIgRrTh8eeZEtF0," EverittLaboratory,Urbana,United States",40.1108437,-88.22830739999999,1,61801,OK,"establishment,point_of_interest,school"
46,ROOFTOP,"Veterinary Medicine Basic Sciences Building, Urbana, IL 61802, USA",ChIJJakjzB3XDIgR2AnYfYoxTCk," VetMed BasicSciences Bldg,Urbana,United States",40.0927228,-88.22099659999999,1,61802,OK,premise
47,GEOMETRIC_CENTER,"Urbana St, Danville Township, IL 61883, USA",ChIJMSPKEBVRDYgRCsBQbrX2RvE,"Danville IL,Urbana,United States",40.061436,-87.6401209,1,61883,OK,route
48,ROOFTOP,"Institute for Genomic Biology, 905 S Goodwin Ave, Urbana, IL 61801, USA",ChIJdwh0XRbXDIgR0vNjU7WG-rc,"Bevier Hall,Urbana,United States",40.1049315,-88.22475899999999,1,61801,OK,premise
49,ROOFTOP,"711 Kettering Park Dr, Urbana, IL 61801, USA",ChIJ7yqMw2LXDIgRlG718dMI0AM,"Mechanical,Urbana,United States",40.129589,-88.217759,1,61801,OK,"establishment,general_contractor,home_goods_store,plumber,point_of_interest,store"
50,ROOFTOP,"500 E Peabody Dr, Champaign, IL 61820, USA",ChIJB0m9WTvXDIgRh5bV6KQbV0k," KrannertArt Museum,Urbana,United States",40.101862,-88.23173709999999,1,61820,OK,"establishment,museum,point_of_interest"
51,ROOFTOP,"Freer Hall, 906 S Goodwin Ave, Urbana, IL 61801, USA",ChIJZzNuvxbXDIgRiapnPTHdpYw," Freer Hall,Urbana,United States",40.1048188,-88.2228643,1,61801,OK,premise
52,ROOFTOP,"501 E Daniel St, Champaign, IL 61820, USA",ChIJjY3Zyj7XDIgRqg0OoWV0F54," GradSch of Lib &Info Science,Urbana,United States",40.1076722,-88.2315023,1,61820,OK,"establishment,point_of_interest,school"
53,ROOFTOP,"901 W Oregon St, Urbana, IL 61801, USA",ChIJ9bwMzRPXDIgRjCGqr9AL0OM," 901W Oregon,Urbana,United States",40.10676340000001,-88.2194852,1,61801,OK,premise
54,ROOFTOP,"1114 W Nevada St, Urbana, IL 61801, USA",ChIJt_BjIRTXDIgROqJ-bsZd_aU," MusicBuilding,Urbana,United States",40.106396,-88.22319750000001,2,61801,OK,"establishment,point_of_interest,university"
55,ROOFTOP,"Doris Kelley Christopher Hall, 904 W Nevada St, Urbana, IL 61801, USA",ChIJNx2j1hPXDIgRHIslwTiXNwc," ChristopherHall,Urbana,United States",40.1063303,-88.2195623,1,61801,OK,premise
56,ROOFTOP,"Roger Adams Laboratory, 600 S Mathews Ave, Urbana, IL 61801, USA",ChIJdTLmuxXXDIgR2fWqfHNXfA8," RogerAdamsLaboratory,Urbana,United States",40.1077057,-88.22494309999999,1,61801,OK,premise
57,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ,"Forman,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
58,ROOFTOP,"Education Bldg, 1310 S 6th St, Champaign, IL 61820, USA",ChIJ_ay83DzXDIgRUW7XaIB4Qbo," EducationBuilding,Urbana,United States",40.10207219999999,-88.2296281,1,61820,OK,"establishment,point_of_interest"
59,ROOFTOP,"UIUC Engineering Hall, Urbana, IL 61801, USA",ChIJkfZ3_D_XDIgRk7pzCtLEwb4,"EngineeringHall,Urbana,United States",40.110833,-88.22694399999999,1,61801,OK,premise
60,ROOFTOP,"1110 W Green St Loomis Laboratory, Urbana, IL 61801, USA",ChIJb0AgzBTXDIgRkCYvOHR1MVE," LoomisLaboratory,Urbana,United States",40.110911,-88.2233559,1,61801,OK,subpremise
61,APPROXIMATE,"Urbana, IL, USA",ChIJj0KEhJbXDIgRQWUMOa3LjfQ,"Faivre,Urbana,United States",40.1105875,-88.2072697,1,,OK,"locality,political"
62,ROOFTOP,"Slavic Review, 1207 W Oregon St, Urbana, IL 61801, USA",ChIJj7ij2hXXDIgR30obEY18Nvs," 1207W Oregon,Urbana,United States",40.1066692,-88.2248302,1,61801,OK,premise
